title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_location,reference_url
"Brouillon lettre B de V à Rochambeau (Head of Elk)","Charles-Antoine Du Houx, Baron de Vioménil ","1781-09-08","","Head of Elk, Maryland ;François Jean de Beauvoir, marquis de Chastellux; 1734-1788; Baltimore, Maryland;Chesapeake Bay;Antoine Charles du Houx, baron de Vioménil; 1734-1827; Baltimore, Maryland; New York ; Baltimore, Maryland;Highlight","Head Of Elk, Maryland, USA","39.60686921","-75.832352","","106","","","French","","","https://fromthepage.com/image-service/32541590/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029433/manifest",/items/32029433.html
"Copie lettre de Washington ","","1781-09-12","","George Washington; 1732-1799;Colchester, Virginia; de la Baie ;David Humphreys; 1752-1818;George Washington; 1732-1799;Highlight","","","","","112","","","French","","","https://fromthepage.com/image-service/32541597/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029439/manifest",/items/32029439.html
"Reflexion et mémoires B de V à Rochambeau - Plan d&#39;attaque de Yorktown","Charles-Antoine Du Houx, Baron de Vioménil ","1781-10-10","","Antoine Charles du Houx, baron de Vioménil; 1734-1827;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Antoine Charles du Houx, baron de Vioménil; 1734-1827;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;George Washington; 1732-1799;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805; Yorktown, Virginia ;Gloucester Point, Virginia ;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;George Washington; 1732-1799; Yorktown, Virginia ;Antoine Charles du Houx, baron de Vioménil; 1734-1827;Highlight","Yorktown, Virginia, USA","37.23870686","-76.50998627","","113","","","French","","","https://fromthepage.com/image-service/32541598/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029441/manifest",/items/32029441.html
"Ordre et instruction pour La Fayette ","Charles-Antoine Du Houx, Baron de Vioménil ","1781-10-14","","Gilbert du Motier, marquis de Lafayette; 1757-1834; Yorktown, Virginia ;Gilbert du Motier, marquis de Lafayette; 1757-1834;Antoine Charles du Houx, baron de Vioménil; 1734-1827;Gilbert du Motier, marquis de Lafayette; 1757-1834;George Washington; 1732-1799;Antoine Charles du Houx, baron de Vioménil; 1734-1827;Highlight","Yorktown, Virginia, USA","37.23870686","-76.50998627","","114","","","French","","","https://fromthepage.com/image-service/32541600/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029442/manifest",/items/32029442.html
"Ordre et instruction pour Von Stuben","Charles-Antoine Du Houx, Baron de Vioménil ","1781-10-14","","Friedrich Wilhelm von Steuben; 1730-1794;Gilbert du Motier, marquis de Lafayette; 1757-1834;Friedrich Wilhelm von Steuben; 1730-1794; Yorktown, Virginia ;Antoine Charles du Houx, baron de Vioménil; 1734-1827;Highlight","Yorktown, Virginia, USA","37.23870686","-76.50998627","","115","","","French","","","https://fromthepage.com/image-service/32541604/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029443/manifest",/items/32029443.html
"Lettre au duc du Chatelet","Charles-Antoine Du Houx, Baron de Vioménil ","","","Louis-Marie-Florent, duc Du Châtelet; 1727-1793;Newport, Rhode Island; Boston, Masssachusetts;Charles-Henri-Louis d&#39;Arsac de Ternay; 1723-1780;Robert Boyle-Walsingham; 1736-1780;Mariot Arbuthnot; 1711-1794; New York ;Thomas Graves; 1725-1802;George Rodney; 1718-1792;The West Indies;Jamaica;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Charles-Henri-Louis d&#39;Arsac de Ternay; 1723-1780;George Washington; 1732-1799;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Hudson River;Gilbert du Motier, marquis de Lafayette; 1757-1834;Charleston, South Carolina;George Washington; 1732-1799;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Long Island, New York; New York ;Henry Clinton; 1730-1795;Highlight","","","","","119","","","French","","","https://fromthepage.com/image-service/32541614/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029448/manifest",/items/32029448.html
"Lettre au prince de Montbarrey","Charles-Antoine Du Houx, Baron de Vioménil ","","","Newport, Rhode Island;Brest, France;Charles-Henri-Louis d&#39;Arsac de Ternay; 1723-1780;Highlight","","","","","120","","","French","","","https://fromthepage.com/image-service/32541619/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029449/manifest",/items/32029449.html
"Brouillon lettre à x - Organisation défense de Newport","Charles-Antoine Du Houx, Baron de Vioménil ","1780-08-01","","Boston, Masssachusetts;Mariot Arbuthnot; 1711-1794;Thomas Graves; 1725-1802;Henry Clinton; 1730-1795;George Washington; 1732-1799;Henry Clinton; 1730-1795;Newport, Rhode Island; Boston, Masssachusetts;George Washington; 1732-1799; New York ;Henry Clinton; 1730-1795;Gilbert du Motier, marquis de Lafayette; 1757-1834;George Washington; 1732-1799; New York ;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Henry Clinton; 1730-1795;Long Island, New York;Brooklyn, New York;Rhode Island;Highlight","Newport, Rhode Island, USA","41.49043973","-71.31161922","","121","","","French","","","https://fromthepage.com/image-service/32541621/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029450/manifest",/items/32029450.html
"Brouillon lettre au duc de Coigny","Charles-Antoine Du Houx, Baron de Vioménil ","1780-09-18","","Newport, Rhode Island;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Horatio Gates; 1727-1806;Camden, South Carolina;South Carolina;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Charles-Henri-Louis d&#39;Arsac de Ternay; 1723-1780;Hartford, Connecticut ;George Washington; 1732-1799; Orangetown, New York;Hudson River;Mariot Arbuthnot; 1711-1794;Henry Clinton; 1730-1795; New York ;Guillaume-Mathieu, comte de Dumas; 1753-1837;Georges-Henri-Victor Collot; 1750-1805;François Louis Arthur Thibaut de Ménonville; 1740-1816;Benoît-Joseph de Tarlé; 1735-1797; Bouchet ;Isidore Lynch; 1755-1841;Claude Blanchard; 1742-1803 ;Louis Dominique Ethis de Corny; 1736-1790;Jacques-Pierre Orillard de Villemanzy; 1751-1830;Nathanael Greene; 1742-1786; Head ;George Washington; 1732-1799;François Jean de Beauvoir, marquis de Chastellux; 1734-1788;Highlight","Newport, Rhode Island, USA","41.49043973","-71.31161922","","122","","","French","","","https://fromthepage.com/image-service/32541624/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029451/manifest",/items/32029451.html
"Brouillon lettre au duc de Coigny Brouillon lettre à Gribeauval -Envoi rapport revue ","Charles-Antoine Du Houx, Baron de Vioménil ","1782-01-06","","Boston, Masssachusetts;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Louis-Philippe de Rigaud, marquis de Vaudreuil; 1724-1802;The West Indies; Baltimore, Maryland;Joseph Dieudonné de Chazelles;Burelet ; Jousserand ; Barthélémy ;Armand-Louis Gontaut, duc de Lauzun; 1747-1793;François Marie d&#39;Aboville; 1730-1817; Nadal ; Laries ;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;François Marie d&#39;Aboville; 1730-1817;Burelet ; Bois;Highlight","Boston, Massachussets, USA","42.36027241","-71.05680734","","123","","","French","","","https://fromthepage.com/image-service/32541628/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029452/manifest",/items/32029452.html
"Mémoire relatif à l&#39;arrivée du Cte de Grasse","Charles-Antoine Du Houx, Baron de Vioménil ","1781-08-01","","François Joseph Paul de Grasse; 1722-1788;Phillipsburg, New York;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;Providence, Rhode Island;Newport, Rhode Island;François Joseph Paul de Grasse; 1722-1788; New York ;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;François Joseph Paul de Grasse; 1722-1788;George Washington; 1732-1799;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Phillipsburg, New York;Delaware River;George Washington; 1732-1799;François Joseph Paul de Grasse; 1722-1788;Delaware River;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Chesapeake Bay;Charleston, South Carolina;George Washington; 1732-1799;Pierre-François de Béville;Delaware River; Trenton, New Jersey;Philadelphia, Pennsylvania;Chester, Pennsylvania;François Joseph Paul de Grasse; 1722-1788;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Charleston, South Carolina;Portsmouth, Virginia;Chesapeake Bay; New York ;Charleston, South Carolina;Virginia;Charleston, South Carolina;Savannah, Georgia;François Joseph Paul de Grasse; 1722-1788; New York ;Sandy Hook, New Jersey;Long Island, New York;Kingsbridge, New York;Staten Island, New York; New York ;Hudson River;François Joseph Paul de Grasse; 1722-1788; New York;Highlight","","","","","124","","","French","","","https://fromthepage.com/image-service/32541630/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029453/manifest",/items/32029453.html
"Mémoire relatif à l&#39;arrivée du Cte de Grasse Brouillon lettre au duc du Chatelet ","Charles-Antoine Du Houx, Baron de Vioménil ","1781-08-15","","Phillipsburg, New York;Newport, Rhode Island;Hudson River;Newport, Rhode Island;François Joseph Paul de Grasse; 1722-1788;Saint-Domingue;François Joseph Paul de Grasse; 1722-1788; New York ;Phillipsburg, New York; New York ;Virginia;The Carolinas;Georgia;François Joseph Paul de Grasse; 1722-1788;Hudson River;François Joseph Paul de Grasse; 1722-1788;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;François Joseph Paul de Grasse; 1722-1788;Chesapeake Bay;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Head of Elk, Maryland;Highlight","Philipsburg Encampment, New York, USA","41.01962571","-73.81775303","","125","","","French","","","https://fromthepage.com/image-service/32541634/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029454/manifest",/items/32029454.html
"Brouillon lettre au prince de Condé","Charles-Antoine Du Houx, Baron de Vioménil ","1781-09-05","","Philadelphia, Pennsylvania;North Castle, New York;Crompond, New York;King’s Ferry, New York ;Hudson River;Suffern’s Tavern;Pompton, New Jersey;Wippany, New Jersey;Bullion&#39;s Tavern;Somerset Court House, New Jersey;Princeton, New Jersey; Trenton, New Jersey;Delaware River;Red Lion Tavern ;Philadelphia, Pennsylvania;Chester, Pennsylvania; Wilmington, Delaware ;Head of Elk, Maryland ;François Joseph Paul de Grasse; 1722-1788;Chesapeake Bay;Ann-César de la Luzerne; 1741-1791;François Joseph Paul de Grasse; 1722-1788;James River;Gilbert du Motier, marquis de Lafayette; 1757-1834;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805; Yorktown, Virginia ;Gilbert du Motier, marquis de Lafayette; 1757-1834;Charleston, South Carolina;Head of Elk, Maryland ;Chesapeake Bay;François Joseph Paul de Grasse; 1722-1788;George Washington; 1732-1799;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Virginia;The Carolinas;William Heath; 1737-1814;Hudson River;West Point, New York;Henry Clinton; 1730-1795; New York ;Connecticut;New Jersey;Virginia;Samuel Hood; 1724-1816;Thomas Graves; 1725-1802;Sandy Hook, New Jersey;Charleston, South Carolina;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;François Joseph Paul de Grasse; 1722-1788;Charles Cornwallis, 1st Marquess Cornwallis; 1738-1805;Virginia;Charleston, South Carolina;François Joseph Paul de Grasse; 1722-1788;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;Newport, Rhode Island;Chesapeake Bay;François Joseph Paul de Grasse; 1722-1788;Ann-César de la Luzerne; 1741-1791;Highlight","Philadelphia, Pennsylvania, USA","39.95446916","-75.1792211","","126","","","French","","","https://fromthepage.com/image-service/32541637/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029455/manifest",/items/32029455.html
"A traiter avec l&#39;intendant","Charles-Antoine Du Houx, Baron de Vioménil ","1781-09-18","","Annapolis, Maryland;Pierre-François de Béville; Williamsburg, Virginia;François Joseph Paul de Grasse; 1722-1788;Virginia;Jeremiah Wadsworth; 1743-1804; Dauré ;Alexandria, Virginia;Highlight","","","","","127","","","French","","","https://fromthepage.com/image-service/32541640/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029456/manifest",/items/32029456.html
"Brouillon lettre au prince de Condé - Désertion d&#39;Arnold","Charles-Antoine Du Houx, Baron de Vioménil ","","","Louis Joseph, Prince of Condé; 1736-1818;Luc Urbain du Bouëxic de Guichen; 1712-1790;George Rodney; 1718-1792; New York ;Mariot Arbuthnot; 1711-1794;Rhode Island;Newport, Rhode Island;Charles-Henri-Louis d&#39;Arsac de Ternay; 1723-1780;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Sandy Hook, New Jersey; New York;Highlight","","","","","128","","","French","","","https://fromthepage.com/image-service/32541644/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029457/manifest",/items/32029457.html
"Lettre de Barras à Baron de Vioménil ","Jacques-Melchior Saint-Laurent, Comte de Barras","","","Boston, Masssachusetts;Jacques-Melchior de Barras de Saint-Laurent; 1720-1792;Antoine Charles du Houx, baron de Vioménil; 1734-1827;Newport, Rhode Island;Highlight","","","","","132","","","French","","","https://fromthepage.com/image-service/32541647/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029458/manifest",/items/32029458.html
"Ordre de retour en France ","Louis Auguste de France, King Lous XVI","1783-02-24","","Louis XVI; 1754-1793;Antoine Charles du Houx, baron de Vioménil; 1734-1827;Versailles, France;Louis XVI; 1754-1793;Highlight","Versailles, Versailles, France","48.80759347","2.100656424","","132a","","","French","","","https://fromthepage.com/image-service/32567523/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32030679/manifest",/items/32030679.html
"Brouillon lettre au Mis de Castries - compliment pour nomination et CR combat du 16 mars ","Charles-Antoine Du Houx, Baron de Vioménil ","1781-03-04","","Newport, Rhode Island;Charles René Dominique Sochet Destouches; 1727-1793;Antoine Charles du Houx, baron de Vioménil; 1734-1827; de la Grandière ;Jean Isaac Chadeau de la Clocheterie; 1741-1782;Charles de Bernard de Marigny; 1740-1816;Charles René Magon de Médine; 1763-1805;Guillaume-Jacques-Constant de Liberge de Granchain; 1744-1805;Hippolyte Louis Antoine de Capellis; 1744-1813;Newport, Rhode Island;Virginia;Gilbert du Motier, marquis de Lafayette; 1757-1834;Benedict Arnold; 1740-1801;Anne-Alexandre-Marie de Montmorency-Laval, marquis de Laval; 1747-1817;Louis-Marie de Noailles; 1756-1804;Charles César de Damas d&#39;Antigny; 1758-1829;Dominique Sheldon; 1760-1802;Jean-Fréderic de Chabannes; 1762-1836 ;Charles Malo François de Lameth; 1757-1832;Highlight","Newport, Rhode Island, USA","41.49043973","-71.31161922","","134","","","French","","","https://fromthepage.com/image-service/32573037/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32031972/manifest",/items/32031972.html
"Lettre du Mis de Castries","Charles Eugène Gabriel de La Croix, marquis de Castries","1781-07-15","","Versailles, France;Charles René Dominique Sochet Destouches; 1727-1793;Chesapeake Bay;Benedict Arnold; 1740-1801;François Joseph Paul de Grasse; 1722-1788;Charles Eugène Gabriel de La Croix, marquis de Castries; 1727-1801;Highlight","Versailles, Versailles, France","48.80759347","2.100656424","","135","","","French","","","https://fromthepage.com/image-service/32541650/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32029459/manifest",/items/32029459.html
"Lettre de M de Veimerange","Gabriel-Claude Palteau de Veimerange","1781-10-06","","Paris, France; Rohant ; Sérilly ; Pange ;Philippe Henri, marquis de Ségur; 1724-1801;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Benoît-Joseph de Tarlé; 1735-1797;Claude Blanchard; 1742-1803 ;Alexandre Marie Léonor de Saint-Mauris de Montbarrey, prince of Montbarrey; 1732-1796;François Joseph Paul de Grasse; 1722-1788; New York ;Brest, France;Charles Eugène Gabriel de La Croix, marquis de Castries; 1727-1801;Philippe Henri, marquis de Ségur; 1724-1801;François Joseph Paul de Grasse; 1722-1788;Benoît-Joseph de Tarlé; 1735-1797; Gabrielle Marguerite de Bourdon; 1737-1804;Dijon, France; Dombal ;Claude Blanchard; 1742-1803;Highlight","Paris, Ile de France, France","48.85675965","2.351837923","","137","","","French","","","https://fromthepage.com/image-service/32573042/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32031974/manifest",/items/32031974.html
"Lettre de M. de Veimeranges, Intendant","Gabriel-Claude Palteau de Veimerange","1781-05-19","","Paris, France;Newport, Rhode Island;Victor François de Broglie, 2nd Duke of Broglie; 1718-1804;Jacques Necker; 1732-1804;Philippe Henri, marquis de Ségur; 1724-1801; Sérilly ; Chanet ;John Laurens; 1752-1782; Gabrielle Marguerite de Bourdon; 1737-1804; Mr de Charrin;Philippe Henri, marquis de Ségur; 1724-1801;Jacques Necker; 1732-1804;John Laurens; 1752-1782;Charles Gravier de Vergennes; 1719-1787; Sr Holker ;Gabriel-Claude Palteau de Veimerange; 1738-1794;Highlight","Paris, Ile de France, France","48.85675965","2.351837923","","138","","","French","","","https://fromthepage.com/image-service/32573050/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32031976/manifest",/items/32031976.html
"Lettre de x - Considérations sur situation","","1781-02-04","","Frascati, Italy;Paris, France;Louis Dominique Ethis de Corny; 1736-1790;Anne-Alexandre-Marie de Montmorency-Laval, marquis de Laval; 1747-1817;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Versailles, France;Gibraltar;Frederick North, Lord North; 1732-1792;François Jean de Beauvoir, marquis de Chastellux; 1734-1788;Anne-Alexandre-Marie de Montmorency-Laval, marquis de Laval; 1747-1817;Highlight","Frescati, Lazia, Italy","41.80817346","12.67526023","","140","","","French","","","https://fromthepage.com/image-service/32573055/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32031979/manifest",/items/32031979.html
"Lettre de x - Considérations sur situation ","","1781-09-30","","Frascati, Italy;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807; Lévis ;Anne-Alexandre-Marie de Montmorency-Laval, marquis de Laval; 1747-1817;George Washington; 1732-1799; New York ;François Joseph Paul de Grasse; 1722-1788;George Rodney; 1718-1792;Charles-Léonard de Baylenx, marquis de Poyanne; 1718-1781;Vendôme, France;Paris, France; de Chabrillant ;Pierre Victor de Besenval de Brünstatt; 1721-1791;Charles-Léonard de Baylenx, marquis de Poyanne; 1718-1781;Charles François de Broglie; 1719-1781; de Vaux ;Casimir Pignatelli d&#39;Egmont; 1727-1801;René Jean Mans de la Tour du Pin, marquis de la Charce; 1750-1781; de St Julien ;François Charles de Rochechouart, comte de Rochechouart; 1703-1784;Louis Philippe de Ségur; 1753-1830;Courteilles, France;Ancenis, France; de Dreux ; Gabrielle Marguerite de Bourdon; 1737-1804;Claude Bernard Loppin de Montmort; 1752-1831;Highlight","Frescati, Lazia, Italy","41.80817346","12.67526023","","141","","","French","","","https://fromthepage.com/image-service/32573059/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32031980/manifest",/items/32031980.html
"Copie lettre du comte de Custine à Ségur sur conduite M. de la Chesnaye","Adam Philippe, Comte de Custine","1781-05-29","","Philippe Henri, marquis de Ségur; 1724-1801;Adam Philippe, Comte de Custine; 1740-1793;Newport, Rhode Island;Claude-François de la Chesnaye; de la Valette ;Armand-Charles-Augustin de La Croix, comte de Charlus; 1756-1842; de la Valette ;Claude-François de la Chesnaye;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;Highlight","Newport, Rhode Island, USA","41.49043973","-71.31161922","","145","","","French","","","https://fromthepage.com/image-service/32573124/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32031998/manifest",/items/32031998.html
"Lettre de Ségur - Nomination B de V gouverneur La Rochelle","Philippe Henri, Marquis de Ségur","1781-12-05","","Versailles, France;Louis XVI; 1754-1793;Chesapeake Bay;Louis-François-Joseph de Montmorency-Logny, prince de Montmorency;Philippe Henri, marquis de Ségur; 1724-1801;Highlight","Versailles, Versailles, France","48.80759347","2.100656424","","146","","","French","","","https://fromthepage.com/image-service/32573258/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32032000/manifest",/items/32032000.html
"Brouillon B de V à Vaudreuil - Enquête sur perte de la Bourgogne","Charles-Antoine Du Houx, Baron de Vioménil ","1783-02-21","","Puerto Cabello, Venezuela;Pierre Joseph François Samson de Champmartin; de Bressolles ;Pierre Joseph François Samson de Champmartin; de Bressolles ;Pierre Joseph François Samson de Champmartin; de Bressolles;Highlight","Porto Cabello, Carabobo, Venezuela","10.46941031","-68.0291029","","152","","","French","","","https://fromthepage.com/image-service/32547384/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32030107/manifest",/items/32030107.html
"Brouillon lettre B de V au Mis de Ségur - Arrivée de l&#39;armée en Amérique du sud ","Charles-Antoine Du Houx, Baron de Vioménil ","1783-02-19","","Charles Eugène Gabriel de La Croix, marquis de Castries; 1727-1801; Boston, Masssachusetts;Jean-Baptiste Donatien de Vimeur de Rochambeau; 1725-1807;François Claude Amour, Marquis de Bouillé; 1739-1800;Guillaume Léonard de Bellecombe; 1728-1792;Charles Eugène Gabriel de La Croix, marquis de Castries; 1727-1801;Highlight","Aboard the vessel &quot;Triomphant&quot;","","","","154","","","French","","","https://fromthepage.com/image-service/32547497/full/pct:10/0/default.jpg","https://fromthepage.com/iiif/32030117/manifest",/items/32030117.html
